Title,Artist
Unsteady,X Ambassadors
I Know What You Did Last Summer,Shawn Mendes
When You Love Someone,James TW
Trouble,Cage The Elephant
Tuesday (feat. Danelle Sandoval),Burak Yeter
Jumpman,Drake
Somebody Else,The 1975
The Ocean (feat. Shy Martin),Mike Perry
Into You,Ariana Grande
Alone,Marshmello
Lost Boy,Ruth B.
Hurts So Good,Astrid S
The Greatest (feat. Kendrick Lamar),Sia
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips
Alaska,Maggie Rogers
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk
Dangerous Woman,Ariana Grande
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias
Never Be Like You (feat. Kai),Flume
H.O.L.Y.,Florida Georgia Line
Cold Water,Major Lazer
2 Phones,Kevin Gates
You Don't Own Me (feat. G-Eazy),SAYGRACE
Close,Nick Jonas
LUV,Tory Lanez
Side To Side,Ariana Grande
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta
Hotter Than Hell,Dua Lipa
Same Old Love,Selena Gomez
HandClap,Fitz and The Tantrums
Sorry,BeyoncÃ©
Tiimmy Turner,Desiigner
Stay (feat. Maty Noyes),Kygo
Final Song,MÃ˜
Hide Away,Daya
All Time Low,Jon Bellion
Hands To Myself,Selena Gomez
One Call Away,Charlie Puth
Sweet Lovin' - Radio Edit,Sigala
Don't Mind,Kent Jones
Here,Alessia Cara
Cool Girl,Tove Lo
Girls Like (feat. Zara Larsson),Tinie Tempah
Shape of You,Ed Sheeran
Believer,Imagine Dragons
Despacito,Luis Fonsi
Bad Things (with Camila Cabello),Machine Gun Kelly
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
Havana (feat. Young Thug),Camila Cabello
Thunder,Imagine Dragons
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5
That's What I Like,Bruno Mars
Perfect,Ed Sheeran
There's Nothing Holdin' Me Back,Shawn Mendes
Say You Won't Let Go,James Arthur
Passionfruit,Drake
goosebumps,Travis Scott
Too Good At Goodbyes,Sam Smith
Look What You Made Me Do,Taylor Swift
HUMBLE.,Kendrick Lamar
Unforgettable,French Montana
Love On The Brain,Rihanna
Sign of the Times,Harry Styles
Attention,Charlie Puth
...Ready For It?,Taylor Swift
LOVE. FEAT. ZACARI.,Kendrick Lamar
Redbone,Childish Gambino
Jocelyn Flores,XXXTENTACION
Congratulations,Post Malone
Bored,Billie Eilish
Whatever It Takes,Imagine Dragons
No Lie,Sean Paul
XO Tour Llif3,Lil Uzi Vert
Mask Off,Future
New Rules,Dua Lipa
I Donâ€™t Wanna Live Forever (Fifty Shades Darker),ZAYN
More Than You Know,Axwell /\ Ingrosso
I Feel It Coming,The Weeknd
BUTTERFLY EFFECT,Travis Scott
Mercy,Shawn Mendes
Little Dark Age,MGMT
Young Dumb & Broke,Khalid
Hold On,Chord Overstreet
Human,Rag'n'Bone Man
Magnolia,Playboi Carti
24K Magic,Bruno Mars
Castle on the Hill,Ed Sheeran
I Fall Apart,Post Malone
DNA.,Kendrick Lamar
Him & I (with Halsey),G-Eazy
Scared to Be Lonely,Martin Garrix
Galway Girl,Ed Sheeran
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie
Bank Account,21 Savage
Location,Khalid
Save That Shit,Lil Peep
Glorious (feat. Skylar Grey),Macklemore
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris
Happier,Ed Sheeran
Stay,Zedd
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Slow Hands,Niall Horan
1-800-273-8255,Logic
Issues,Julia Michaels
What About Us,P!nk
Malibu,Miley Cyrus
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN
Fetish (feat. Gucci Mane),Selena Gomez
Sorry Not Sorry,Demi Lovato
Black Beatles,Rae Sremmurd
Paris,The Chainsmokers
Mi Gente,J Balvin
Losin Control,Russ
Plain Jane,A$AP Ferg
Swang,Rae Sremmurd
Bad and Boujee (feat. Lil Uzi Vert),Migos
Scars To Your Beautiful,Alessia Cara
Fake Love,Drake
Lust For Life (with The Weeknd),Lana Del Rey
Green Light,Lorde
Tunnel Vision,Kodak Black
Bodak Yellow,Cardi B
Sky Walker (feat. Travis Scott),Miguel
Caroline,AminÃ©
iSpy (feat. Lil Yachty),KYLE
Slide (feat. Frank Ocean & Migos),Calvin Harris
do re mi,blackbear
Lonely Together (feat. Rita Ora),Avicii
Despacito - Remix,Luis Fonsi
Rolex,Ayo & Teo
Sit Next to Me,Foster The People
ELEMENT.,Kendrick Lamar
SUBEME LA RADIO,Enrique Iglesias
No Limit,G-Eazy
Most Girls,Hailee Steinfeld
Chained To The Rhythm,Katy Perry
Friends (with BloodPopÂ®),Justin Bieber
Praying,Kesha
September Song,JP Cooper
Bounce Back,Big Sean
Strip That Down (feat. Quavo),Liam Payne
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled
no tears left to cry,Ariana Grande
lovely (with Khalid),Billie Eilish
One Kiss (with Dua Lipa),Calvin Harris
Delicate,Taylor Swift
God is a woman,Ariana Grande
God's Plan,Drake
SICKO MODE,Travis Scott
rockstar (feat. 21 Savage),Post Malone
we fell in love in october,girl in red
All The Stars (with SZA),Kendrick Lamar
Happier,Marshmello
I Like Me Better,Lauv
Moonlight,XXXTENTACION
Better Now,Post Malone
Natural,Imagine Dragons
2002,Anne-Marie
Yes Indeed,Lil Baby
LOVE. FEAT. ZACARI.,Kendrick Lamar
Nice For What,Drake
The Middle,Zedd
Silence,Marshmello
IDGAF,Dua Lipa
In My Mind,Dynoro
Nonstop,Drake
DÃ©jala Que Vuelva (feat. Manuel Turizo),Piso 21
Mo Bamba,Sheck Wes
Him & I (with Halsey),G-Eazy
Be Alright,Dean Lewis
I Like It,Cardi B
Self Care,Mac Miller
Body,Loud Luxury
Psycho (feat. Ty Dolla $ign),Post Malone
FRIENDS,Marshmello
changes,XXXTENTACION
Shotgun,George Ezra
Nevermind,Dennis Lloyd
In My Feelings,Drake
Vaina Loca,Ozuna
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Te BotÃ© - Remix,Nio Garcia
Finesse - Remix; feat. Cardi B,Bruno Mars
Stir Fry,Migos
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake
Eastside (with Halsey & Khalid),benny blanco
How Long,Charlie Puth
Meant to Be (feat. Florida Georgia Line),Bebe Rexha
Bad At Love,Halsey
Love Lies (with Normani),Khalid
Trip,Ella Mai
It's Not Living (If It's Not With You),The 1975
You Make It Easy,Jason Aldean
Walk It Talk It,Migos
In My Blood,Shawn Mendes
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental
Tequila,Dan + Shay
Look Alive (feat. Drake),BlocBoy JB
Never Be the Same,Camila Cabello
Bodak Yellow,Cardi B
Me Niego (feat. Ozuna & Wisin),Reik
This Feeling,The Chainsmokers
Saturday Sun,Vance Joy
Simple,Florida Georgia Line
Leave a Light On,Tom Walker
Rise,Jonas Blue
Let's Fall in Love for the Night,FINNEAS
Taste (feat. Offset),Tyga
The Greatest Show,Hugh Jackman
Jackie Chan,TiÃ«sto
Spotlight,Marshmello
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly
Back To You,Selena Gomez
Say Something (feat. Chris Stapleton),Justin Timberlake
FEFE,6ix9ine
Dura,Daddy Yankee
CorazÃ³n (feat. Nego do Borel),Maluma
Plug Walk,Rich The Kid
Solo (feat. Demi Lovato),Clean Bandit
MotorSport,Migos
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock
1950,King Princess
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",SofÃ­a Reyes
I Miss You (feat. Julia Michaels),Clean Bandit
This Is America,Childish Gambino
Freaky Friday (feat. Chris Brown),Lil Dicky
I'm Upset,Drake
Done for Me (feat. Kehlani),Charlie Puth
Be Careful,Cardi B
Youngblood,5 Seconds of Summer
Boo'd Up,Ella Mai
Sin Pijama,Becky G
Paradise,George Ezra
Sick Boy,The Chainsmokers
Everyday,Logic
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5
This Is Me,Keala Settle
No Brainer,DJ Khaled
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG
Make Me Feel,Janelle MonÃ¡e
I'll Be There,Jess Glynne
Old Town Road - Remix,Lil Nas X
bad guy,Billie Eilish
SeÃ±orita,Shawn Mendes
Circles,Post Malone
Let Me Down Slowly,Alec Benjamin
Without Me,Halsey
lovely (with Khalid),Billie Eilish
SICKO MODE,Travis Scott
Lost in the Fire (feat. The Weeknd),Gesaffelstein
Someone You Loved,Lewis Capaldi
Doin' Time,Lana Del Rey
MIDDLE CHILD,J. Cole
Lover,Taylor Swift
when the party's over,Billie Eilish
Wow.,Post Malone
Sucker,Jonas Brothers
Lose You To Love Me,Selena Gomez
"thank u, next",Ariana Grande
High Hopes,Panic! At The Disco
You Need To Calm Down,Taylor Swift
Better Now,Post Malone
a lot,21 Savage
Ransom,Lil Tecca
Sweet but Psycho,Ava Max
EARFQUAKE,"Tyler, The Creator"
Ride It,Regard
Robbery,Juice WRLD
Going Bad (feat. Drake),Meek Mill
boyfriend (with Social House),Ariana Grande
Goodbyes (feat. Young Thug),Post Malone
Con Calma,Daddy Yankee
Location (feat. Burna Boy),Dave
MIA,Bad Bunny
Pop Out (feat. Lil Tjay),Polo G
Hold Me While You Wait,Lewis Capaldi
Money In The Grave (Drake ft. Rick Ross),Drake
Piece Of Your Heart,MEDUZA
Secreto,Anuel AA
Don't Start Now,Dua Lipa
Dance Monkey,Tones And I
"break up with your girlfriend, i'm bored",Ariana Grande
Boy With Luv (feat. Halsey),BTS
ZEZE (feat. Travis Scott & Offset),Kodak Black
Old Town Road,Lil Nas X
Callaita,Bad Bunny
Nights Like This (feat. Ty Dolla $ign),Kehlani
"10,000 Hours (with Justin Bieber)",Dan + Shay
Higher Love,Kygo
China,Anuel AA
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson
i'm so tired...,Lauv
Please Me,Cardi B
Don't Call Me Up,Mabel
Kill This Love,BLACKPINK
3 Nights,Dominic Fike
bury a friend,Billie Eilish
Pure Water (with Migos),Mustard
Truth Hurts,Lizzo
Calma - Remix,Pedro CapÃ³
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie
Bohemian Rhapsody - Remastered 2011,Queen
Soltera (Remix),Lunay
Dancing With A Stranger (with Normani),Sam Smith
Good as Hell,Lizzo
SOS (feat. Aloe Blacc),Avicii
Here With Me,Marshmello
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake
Shotta Flow (feat. Blueface) [Remix],NLE Choppa
Adan y Eva,Paulo Londra
Only Human,Jonas Brothers
Giant (with Rag'n'Bone Man),Calvin Harris
So Am I,Ava Max
Grace,Lewis Capaldi
Talk (feat. Disclosure),Khalid
Panini,Lil Nas X
emotions,iann dior
My Type,Saweetie
Never Really Over,Katy Perry
Leave Me Alone,Flipp Dinero
Motivation,Normani
Easier,5 Seconds of Summer
Slide Away,Miley Cyrus
If I Can't Have You,Shawn Mendes
I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber
The Git Up,Blanco Brown
Ladbroke Grove,AJ Tracey
Lost Without You,Freya Ridings
Light On,Maggie Rogers
The London (feat. J. Cole & Travis Scott),Young Thug
Better,Khalid
Clout (feat. Cardi B),Offset
Post Malone (feat. RANI),Sam Feldt
Just You and I,Tom Walker
Good as You,Kane Brown
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion
gone girl,iann dior
Mad Love,Mabel
Take Me Back to London (feat. Stormzy),Ed Sheeran
Thotiana,Blueface
Blinding Lights,The Weeknd
cardigan,Taylor Swift
positions,Ariana Grande
Watermelon Sugar,Harry Styles
Blueberry Faygo,Lil Mosey
The Box,Roddy Ricch
Toosie Slide,Drake
Party Girl,StaySolidRocky
WAP (feat. Megan Thee Stallion),Cardi B
What You Know Bout Love,Pop Smoke
ROXANNE,Arizona Zervas
Falling,Trevor Daniel
august,Taylor Swift
Stuck with U (with Justin Bieber),Ariana Grande
death bed (coffee for your head),Powfu
Life Is Good (feat. Drake),Future
Rain On Me (with Ariana Grande),Lady Gaga
If the World Was Ending (feat. Julia Michaels),JP Saxe
DÃKITI,Bad Bunny
ROCKSTAR (feat. Roddy Ricch),DaBaby
Heather,Conan Gray
everything i wanted,Billie Eilish
Say So,Doja Cat
Dynamite,BTS
Mood (feat. iann dior),24kGoldn
For The Night (feat. Lil Baby & DaBaby),Pop Smoke
Roses - Imanbek Remix,SAINt JHN
Sunday Best,Surfaces
Adore You,Harry Styles
Laugh Now Cry Later (feat. Lil Durk),Drake
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes
Intentions (feat. Quavo),Justin Bieber
Put Your Records On,Ritt Momney
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money
Godzilla (feat. Juice WRLD),Eminem
HIGHEST IN THE ROOM,Travis Scott
No Idea,Don Toliver
Supalonely (feat. Gus Dapperton),BENEE
Come & Go (with Marshmello),Juice WRLD
UN DIA (ONE DAY) (Feat. Tainy),J Balvin
you broke me first,Tate McRae
Break My Heart,Dua Lipa
Ride It,Regard
ily (i love you baby) (feat. Emilee),Surf Mesa
Rare,Selena Gomez
Holy (feat. Chance The Rapper),Justin Bieber
Savage Love (Laxed - Siren Beat),Jawsh 685
Prisoner (feat. Dua Lipa),Miley Cyrus
Savage Remix (feat. BeyoncÃ©),Megan Thee Stallion
After Hours,The Weeknd
POPSTAR (feat. Drake),DJ Khaled
How You Like That,BLACKPINK
Midnight Sky,Miley Cyrus
Yummy,Justin Bieber
Don't Start Now,Dua Lipa
Circles,Post Malone
Before You Go,Lewis Capaldi
You should be sad,Halsey
Dance Monkey,Tones And I
Memories,Maroon 5
Therefore I Am,Billie Eilish
That Way - Bonus Track,Lil Uzi Vert
34+35,Ariana Grande
Levitating (feat. DaBaby),Dua Lipa
THE SCOTTS,THE SCOTTS
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow
Breaking Me,Topic
Head & Heart (feat. MNEK),Joel Corry
Mood Swings (feat. Lil Tjay),Pop Smoke
In Your Eyes,The Weeknd
my ex's best friend (with blackbear),Machine Gun Kelly
ON (Feat. Sia),BTS
MAMACITA,Black Eyed Peas
Tusa,KAROL G
Be Kind (with Halsey),Marshmello
Someone You Loved,Lewis Capaldi
Past Life (with Selena Gomez),Trevor Daniel
Lonely (with benny blanco),Justin Bieber
Physical,Dua Lipa
July,Noah Cyrus
HawÃ¡i,Maluma
RITMO (Bad Boys For Life),Black Eyed Peas
Sour Candy (with BLACKPINK),Lady Gaga
Wishing Well,Juice WRLD
Play Date,Melanie Martinez
Know Your Worth,Khalid
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Ice Cream (with Selena Gomez),BLACKPINK
bad guy,Billie Eilish
Go Crazy,Chris Brown
Wonder,Shawn Mendes
TKN (feat. Travis Scott),ROSALÃA
BELIEVE IT,PARTYNEXTDOOR
What A Man Gotta Do,Jonas Brothers
Lovesick Girls,BLACKPINK
Stupid Love,Lady Gaga
Safaera,Bad Bunny
Take You Dancing,Jason Derulo
Good News,Mac Miller
my future,Billie Eilish
drivers license,Olivia Rodrigo
MONTERO (Call Me By Your Name),Lil Nas X
Beggin',MÃ¥neskin
Save Your Tears (with Ariana Grande) (Remix),The Weeknd
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
Leave The Door Open,Bruno Mars
deja vu,Olivia Rodrigo
Good Days,SZA
Bad Habits,Ed Sheeran
STAY (with Justin Bieber),The Kid LAROI
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
Kiss Me More (feat. SZA),Doja Cat
good 4 u,Olivia Rodrigo
Heartbreak Anniversary,Giveon
Easy On Me,Adele
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
Happier Than Ever,Billie Eilish
Fair Trade (with Travis Scott),Drake
Woman,Doja Cat
Astronaut In The Ocean,Masked Wolf
MONEY,LISA
Butter,BTS
Levitating (feat. DaBaby),Dua Lipa
Todo De Ti,Rauw Alejandro
34+35,Ariana Grande
telepatÃ­a,Kali Uchis
You Right,Doja Cat
Heat Waves,Glass Animals
Hold On,Justin Bieber
My Universe,Coldplay
The Business,TiÃ«sto
Need to Know,Doja Cat
I WANNA BE YOUR SLAVE,MÃ¥neskin
Yonaguni,Bad Bunny
Streets,Doja Cat
positions,Ariana Grande
traitor,Olivia Rodrigo
willow,Taylor Swift
love nwantiti (ah ah ah),CKay
pov,Ariana Grande
Build a Bitch,Bella Poarch
Up,Cardi B
DÃKITI,Bad Bunny
Baila Conmigo (with Rauw Alejandro),Selena Gomez
Shivers,Ed Sheeran
Solar Power,Lorde
We're Good,Dua Lipa
WITHOUT YOU (with Miley Cyrus),The Kid LAROI
late at night,Roddy Ricch
Calling My Phone,Lil Tjay
RAPSTAR,Polo G
Girls Want Girls (with Lil Baby),Drake
Whoopty,CJ
Mood (feat. iann dior),24kGoldn
LA NOCHE DE ANOCHE,Bad Bunny
Anyone,Justin Bieber
Love Story (Taylorâ€™s Version),Taylor Swift
Afterglow,Ed Sheeran
GIRL LIKE ME,Black Eyed Peas
BICHOTA,KAROL G
Bandido,Myke Towers
Prisoner (feat. Dua Lipa),Miley Cyrus
Blinding Lights,The Weeknd
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
Therefore I Am,Billie Eilish
test drive,Ariana Grande
Lemonade,Internet Money
Watermelon Sugar,Harry Styles
Lost Cause,Billie Eilish
Selfish Love (with Selena Gomez),DJ Snake
What You Know Bout Love,Pop Smoke
Dynamite,BTS
Head & Heart (feat. MNEK),Joel Corry
Save Your Tears,The Weeknd
Body,Megan Thee Stallion
Best Friend (feat. Doja Cat),Saweetie
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande
Whatâ€™s Next,Drake
On The Ground,ROSÃ‰
As I Am (feat. Khalid),Justin Bieber
Met Him Last Night (feat. Ariana Grande),Demi Lovato
m y . l i f e (with 21 Savage & Morray),J. Cole
Your Power,Billie Eilish
Permission to Dance,BTS
Motley Crew,Post Malone
Hurricane,Kanye West
Pepas,Farruko
THATS WHAT I WANT,Lil Nas X
Rumors (feat. Cardi B),Lizzo
Skate,Bruno Mars
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW
Cold Heart - PNAU Remix,Elton John
Leave Before You Love Me (with Jonas Brothers),Marshmello
Girl From Rio,Anitta
Arcade (feat. FLETCHER),Duncan Laurence
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes
Meet Me At Our Spot,THE ANXIETY
Life Goes On,Oliver Tree
Dick (feat. Doja Cat),StarBoi3
Praise God,Kanye West
As It Was,Harry Styles
TitÃ­ Me PreguntÃ³,Bad Bunny
Unholy (feat. Kim Petras),Sam Smith
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush
Glimpse of Us,Joji
CUFF IT,BeyoncÃ©
First Class,Jack Harlow
Heat Waves,Glass Animals
Bad Habit,Steve Lacy
Ghost,Justin Bieber
abcdefu,GAYLE
Late Night Talking,Harry Styles
traitor,Olivia Rodrigo
Me Porto Bonito,Bad Bunny
Super Freaky Girl,Nicki Minaj
About Damn Time,Lizzo
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
DESPECHÃ,ROSALÃA
Cold Heart - PNAU Remix,Elton John
Under The Influence,Chris Brown
Boyfriend,Dove Cameron
Lavender Haze,Taylor Swift
Envolver,Anitta
Pink Venom,BLACKPINK
THATS WHAT I WANT,Lil Nas X
I Ain't Worried,OneRepublic
Left and Right (Feat. Jung Kook of BTS),Charlie Puth
Bam Bam (feat. Ed Sheeran),Camila Cabello
MIDDLE OF THE NIGHT,Elley DuhÃ©
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
All For Us,Labrinth
I Like You (A Happier Song) (with Doja Cat),Post Malone
Shivers,Ed Sheeran
Where Are You Now,Lost Frequencies
good 4 u,Olivia Rodrigo
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons
Easy On Me,Adele
Sacrifice,The Weeknd
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna
We Don't Talk About Bruno,Carolina GaitÃ¡n - La Gaita
BREAK MY SOUL,BeyoncÃ©
Woman,Doja Cat
PROVENZA,KAROL G
Te Felicito,Shakira
Moscow Mule,Bad Bunny
Shut Down,BLACKPINK
MAMIII,Becky G
Sweetest Pie,Megan Thee Stallion
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd
Shirt,SZA
Jimmy Cooks (feat. 21 Savage),Drake
STAY (with Justin Bieber),The Kid LAROI
Oh My God,Adele
Out of Time,The Weeknd
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran
Iâ€™m Tired (with Zendaya) - Bonus Track,Labrinth
When You're Gone,Shawn Mendes
Notion,The Rare Occasions
Light Switch,Charlie Puth
One Right Now (with The Weeknd),Post Malone
Falling Back,Drake
N95,Kendrick Lamar
Nail Tech,Jack Harlow
WAIT FOR U (feat. Drake & Tems),Future
Honest (feat. Don Toliver),Justin Bieber
Infinity,Jaymes Young
Fingers Crossed,Lauren Spencer Smith
TV,Billie Eilish
she's all i wanna be,Tate McRae
Snow On The Beach (feat. Lana Del Rey),Taylor Swift
Evergreen (You Didnâ€™t Deserve Me At All),Omar Apollo
Yet To Come,BTS
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat
Desesperados,Rauw Alejandro
Una Noche en MedellÃ­n,Cris Mj
The Heart Part 5,Kendrick Lamar
ALIEN SUPERSTAR,BeyoncÃ©
It'll Be Okay,Shawn Mendes
SKIN OF MY TEETH,Demi Lovato
Massive,Drake
Sunroof,Nicky Youre
SUMMER RENAISSANCE,BeyoncÃ©
Ojitos Lindos,Bad Bunny
29,Demi Lovato
I'm Good (Blue),David Guetta
Forget Me,Lewis Capaldi
Hold Me Closer,Elton John
Calm Down (with Selena Gomez),Rema
SNAP,Rosa Linn
La Bachata,Manuel Turizo
Until I Found You,Stephen Sanchez
Made You Look,Meghan Trainor
Midnight Rain,Taylor Swift
Die Hard,Kendrick Lamar
Big Energy,Latto
Doja,Central Cee
pushin P (feat. Young Thug),Gunna
Thousand Miles,The Kid LAROI
